application_number,pta_sequence_number,pta_event_date,pta_event_code,delay_duration,responsible_party,start_pta_sequence_number,term_extension_indicator
14170351,25,2015-08-03,DVER,0,,0,
14170351,29,2015-08-03,MN/=.,0,,0,
14170351,30,2015-08-06,PG-ISSUE,0,,0,
14170351,32,2015-08-31,CCRDY,0,,0,
14170351,34,2015-10-05,IFEE,0,,0,
14170351,35,2015-10-05,N084,0,,0,
14170351,36,2015-10-06,PILS,0,,0,
14170351,37,2015-10-07,D1935,0,,0,
14170351,39,2015-11-03,PTAC,0,,0,
14170351,39.5,2015-11-03,PTA36M,0,,.5,
14297972,35,2015-08-31,CCRDY,0,,0,
14297972,36,2015-09-25,IFEE,0,,0,
14297972,37,2015-09-25,N084,0,,0,
14297972,38,2015-09-29,PILS,0,,0,
14297972,39,2015-09-30,D1935,0,,0,
14297972,41,2015-11-03,PTAC,0,,0,
14297972,41.5,2015-11-03,PTA36M,0,,.5,
13896744,24,2014-02-19,EIDS.,0,,0,
13896744,25,2014-02-19,A.PE,0,,0,
13896744,20,2014-02-19,WIDS,0,,0,
13896744,22,2014-03-28,OIPE,0,,0,
13896744,23,2014-03-28,FTFI,0,,0,
13896744,26,2014-04-24,DOCK,0,,0,
13896744,27,2014-05-05,DOCK,0,,0,
13896744,29,2014-08-21,PG-ISSUE,0,,0,
13896744,30,2014-08-22,EML_NTR,0,,0,
13896744,32,2014-09-04,CTRS,0,,0,
13896744,34,2014-09-11,MCTRS,56,PTO,.5,
13896744,36,2014-09-11,ELC_RVW,0,,0,
13896744,35,2014-09-11,EML_NTF,0,,0,
14275737,15,2014-09-04,PG-ISSUE,0,,0,
13605067,34,2015-07-21,AFAC,0,,0,
13605067,33,2015-07-21,EX.R,0,,0,
13605067,36,2015-07-27,DVER,0,,0,
13605067,35,2015-07-27,N/=.,0,,0,
13605067,45,2015-08-04,MN/=.,0,,0,
13605067,47,2015-08-04,ELC_RVW,0,,0,
13605067,46,2015-08-04,EML_NTF,0,,0,
13605067,50,2015-09-29,IFEE,0,,0,
13605067,51,2015-09-29,N084,0,,0,
13605067,52,2015-10-01,C.AD,0,,0,
13605067,54,2015-10-01,D1935,0,,0,
13605067,53,2015-10-01,PILS,0,,0,
13605067,56,2015-11-03,PTAC,0,,0,
13605067,56.5,2015-11-03,PTA36M,58,PTO,.5,
12868530,74,2015-05-04,A...,0,,68,
12868530,94,2015-09-23,IFEE,0,,91,
12868530,1,2010-08-25,IEXX,0,,0,
12868530,2,2010-08-25,SCAN,0,,0,
12868530,3,2010-08-28,L194,0,,0,
12868530,5,2010-09-09,PGPC,0,,0,
13475619,.5,2012-05-18,EFILE,0,,0,
13475619,61,2015-06-26,MN/=.,233,,42,
13475619,37,2014-09-25,MCTFR,0,,33,
13475619,47,2015-01-26,MCTNF,0,,42,
13475619,61,2015-06-26,MN/=.,0,,50,
13475619,71,2015-11-03,PTAC,0,,67,
13475619,33,2014-06-11,A...,0,,30,
13475619,42,2014-11-06,RCEX,0,,37,
13475619,50,2015-04-13,A...,0,,47,
13475619,66,2015-09-28,IFEE,0,,61,
13475619,5,2012-05-18,PDREQUST,0,,0,
13475619,2,2012-05-18,SCAN,0,,0,
13475619,1,2012-05-18,IEXX,0,,0,
13475619,11,2012-05-23,EIDS.,0,,0,
13475619,3,2012-05-23,L194,0,,0,
13475619,4,2012-05-23,WIDS,0,,0,
13475619,26,2012-05-23,IDSC,0,,0,
13475619,7,2012-06-04,PGPC,0,,0,
13475619,6,2012-06-05,FLRCPT.O,0,,0,
13475619,8,2012-06-05,EML_NTR,0,,0,
13475619,9,2012-06-05,COMP,0,,0,
13501767,74.5,2015-11-03,PTA36M,134,PTO,74.4,
13953779,.5,2013-07-30,EFILE,0,,0,
13953779,100,2015-02-17,MN/=.,131,,63,
13953779,120,2015-06-22,MN/=.,36,,105,
13953779,33,2013-12-06,MCTNF,0,,.5,
13953779,51,2014-07-10,MN/=.,0,,38,
13953779,120,2015-06-22,MN/=.,0,,105,
13953779,140,2015-11-03,PTAC,0,,136,
13953779,63,2014-10-10,RCEX,0,,51,
13896744,37,2014-11-03,ELC.,0,,0,
13896744,38,2014-11-04,FWDX,0,,0,
13896744,39,2014-11-18,DOCK,0,,0,
13896744,40,2015-01-16,IDSC,0,,0,
13896744,41,2015-01-16,CTNF,0,,0,
13896744,44,2015-01-23,EML_NTF,0,,0,
13896744,45,2015-01-23,ELC_RVW,0,,0,
13896744,43,2015-01-23,MCTNF,0,,0,
13896744,46,2015-04-24,XT/G,0,,0,
13896744,47,2015-04-24,A...,1,APPL,43,
13896744,48,2015-04-27,FWDX,0,,0,
13896744,53,2015-07-06,EX.A,0,,0,
13896744,55,2015-07-06,EXIE,0,,0,
13878755,.5,2010-10-18,NEFILE,0,,0,
13878755,42.4,2013-04-11,COMMN,0,,0,
13878755,33,2015-07-16,MN/=.,0,,24,
13878755,42,2015-11-03,PTAC,0,,38,
13878755,24,2015-06-25,A...,0,,23,
13878755,37,2015-09-23,IFEE,0,,33,
13878755,1,2013-04-11,IEXX,0,,0,
13878755,2,2013-04-11,BIG.,0,,0,
13878755,3,2013-04-11,L194,0,,0,
13878755,14,2013-04-11,A.PE,0,,0,
13878755,13,2013-04-11,RCAP,0,,0,
13878755,12,2013-04-11,M844,0,,0,
13878755,10,2013-04-11,371COMP,0,,0,
14066982,45,2015-03-18,A...,0,,42,
13008800,129,2015-09-16,N084,0,,0,
14066982,70,2015-06-09,RCEX,0,,63,
14066982,87,2015-09-25,IFEE,0,,81,
13008800,130,2015-09-16,A.NA,0,,0,
13008800,128,2015-09-16,IFEE,0,,0,
14066982,24,2014-08-06,EIDS.,0,,0,
14066982,6,2013-10-30,APPERMS,0,,0,
13008800,131,2015-09-17,PUBTC,0,,0,
14066982,3,2013-10-30,SCAN,0,,0,
13008800,134,2015-09-21,PILS,0,,0,
14066982,2,2013-10-30,BIG.,0,,0,
13008800,132,2015-09-21,N271,0,,0,
14066982,1,2013-10-30,IEXX,0,,0,
14066982,4,2013-11-04,L198,0,,0,
14066982,5,2013-11-04,L128,0,,0,
13008800,137,2015-09-23,D1935,0,,0,
14066982,10,2013-11-15,FTFI,0,,0,
13008800,138,2015-09-24,EML_NTR,0,,0,
14066982,8,2013-11-15,OIPE,0,,0,
13008800,136,2015-09-24,TCPB,0,,0,
14066982,9,2013-11-15,COMP,0,,0,
14066982,12,2013-11-18,COMP,0,,0,
14066982,7,2013-11-18,FLRCPT.O,0,,0,
13008800,135,2015-09-24,MN271,9,APPL,130,
14066982,11,2013-11-18,EML_NTR,0,,0,
13008800,140,2015-11-03,PTAC,0,,0,
14066982,13,2013-12-02,DOCK,0,,0,
12868530,4,2010-09-10,FLRCPT.O,0,,0,
12868530,6,2010-09-10,EML_NTR,0,,0,
12868530,7,2010-09-10,COMP,0,,0,
12868530,8,2010-10-06,OIPE,0,,0,
12868530,9,2010-10-07,DOCK,0,,0,
12868530,10,2011-01-18,WIDS,0,,0,
12868530,11,2011-01-18,M844,0,,0,
12868530,12,2011-01-18,RCAP,0,,0,
12868530,21,2011-01-18,IDSC,0,,0,
12868530,13,2011-03-03,PG-ISSUE,0,,0,
12868530,14,2011-03-04,EML_NTR,0,,0,
12868530,16,2012-06-15,DOCK,0,,0,
12868530,17,2012-06-15,DOCK,0,,0,
12868530,18,2012-08-09,C.AD,0,,0,
12868530,20,2012-08-14,EML_NTR,0,,0,
12868530,19,2012-08-14,PA..,0,,0,
12868530,22,2012-10-01,CTNF,0,,0,
12868530,31,2012-10-09,IDSC,0,,0,
14398804,.5,2013-05-22,NEFILE,0,,0,
14398804,57.4,2014-12-04,COMMN,0,,0,
14398804,22,2015-03-26,MCTNF,0,,57.4,
13364472,.5,2012-02-02,EFILE,0,,0,
13364472,42,2015-06-08,MCTFR,0,,38,
13364472,55,2015-09-14,MN/=.,0,,46,
13364472,65,2015-11-03,PTAC,0,,61,
13364472,38,2015-02-19,A...,0,,35,
13364472,46,2015-08-10,A.NE,0,,42,
13364472,59,2015-10-02,IFEE,0,,55,
13364472,1,2012-02-02,IEXX,0,,0,
13364472,2,2012-02-02,SCAN,0,,0,
13364472,3,2012-02-08,L198,0,,0,
13364472,4,2012-02-08,L196,0,,0,
13364472,6,2012-02-17,PGPW,0,,0,
13364472,21,2012-02-21,RCAP,0,,0,
13364472,20,2012-02-21,M844,0,,0,
13364472,9,2012-02-21,COMP,0,,0,
13364472,5,2012-02-21,FLRCPT.O,0,,0,
13364472,8,2012-02-21,WIDS,0,,0,
13364472,7,2012-02-21,EML_NTR,0,,0,
13364472,10,2012-03-01,PA..,0,,0,
13364472,12,2012-03-01,ML196,0,,0,
13364472,11,2012-03-01,EML_NTR,0,,0,
13364472,13,2012-06-26,L197,0,,0,
13364472,14,2012-06-26,L130,0,,0,
13364472,15,2012-06-28,PGPC,0,,0,
13364472,18,2012-06-29,ELC_RVW,0,,0,
13364472,16,2012-06-29,PG-PB-DT,0,,0,
13364472,17,2012-06-29,EML_NTF,0,,0,
14616454,.5,2015-02-06,EFILE,0,,0,
14616454,19,2015-04-09,MCTNF,0,,.5,
14616454,40,2015-07-29,MN/=.,0,,21,
14616454,50,2015-11-03,PTAC,0,,45,
14616454,21,2015-07-09,A...,0,,19,
14616454,44,2015-09-30,IFEE,0,,40,
13475619,10,2012-06-25,OIPE,0,,0,
13475619,13,2012-10-04,EIDS.,0,,0,
13475619,12,2012-10-04,WIDS,0,,0,
13475619,25,2012-10-04,IDSC,0,,0,
13475619,14,2012-11-23,PG-ISSUE,0,,0,
13475619,15,2012-11-23,EML_NTR,0,,0,
13475619,16,2013-02-07,DOCK,0,,0,
13475619,17,2013-04-29,WIDS,0,,0,
13475619,18,2013-04-29,EIDS.,0,,0,
13475619,24,2013-04-29,IDSC,0,,0,
13475619,19,2013-11-15,DOCK,0,,0,
13953779,105,2015-05-18,RCEX,0,,100,
13953779,135,2015-09-22,IFEE,0,,120,
13953779,64,2014-12-11,EIDS.,0,,0,
13953779,132,2015-07-07,MCNOA,0,,0,
13953779,132,2015-07-07,MCNOA,0,,0,
13953779,63,2014-10-10,RCEX,0,,51,
13953779,26,2013-07-30,A.PE,0,,0,
13953779,27,2013-07-30,M844,0,,0,
13953779,28,2013-07-30,RCAP,0,,0,
13953779,1,2013-07-30,IEXX,0,,0,
13953779,2,2013-07-30,BIG.,0,,0,
13953779,6,2013-07-30,PDREQUST,0,,0,
13953779,25,2013-07-30,IDSC,0,,0,
13953779,7,2013-07-30,APPERMS,0,,0,
13953779,4,2013-07-30,WIDS,0,,0,
13953779,3,2013-07-30,SCAN,0,,0,
13953779,5,2013-08-02,L194,0,,0,
13953779,10,2013-08-15,CPAP,0,,0,
13953779,9,2013-08-15,FLRCPT.O,0,,0,
13953779,8,2013-08-15,PA..,0,,0,
13953779,13,2013-11-15,ADDFLFEE,0,,0,
13953779,11,2013-11-15,CORRSPEC,0,,0,
13896744,56,2015-07-06,EXET,0,,0,
13896744,54,2015-07-06,EX.R,0,,0,
13896744,58,2015-07-08,DOCK,0,,0,
13896744,57,2015-07-08,DVER,0,,0,
13896744,59,2015-07-08,N/=.,0,,0,
13896744,66,2015-07-13,MN/=.,0,,0,
13896744,67,2015-07-13,EML_NTF,0,,0,
13896744,68,2015-07-13,ELC_RVW,0,,0,
13896744,71,2015-08-31,CCRDY,0,,0,
13896744,72,2015-09-30,IFEE,0,,0,
13896744,73,2015-09-30,N084,0,,0,
13896744,74,2015-10-05,PILS,0,,0,
13896744,75,2015-10-05,D1935,0,,0,
13878755,4,2013-04-16,SMAL,0,,0,
13878755,5,2013-04-18,MICR,0,,0,
13878755,6,2013-04-19,M903,0,,0,
13878755,7,2013-04-19,FLRCPT.O,0,,0,
13878755,8,2013-04-19,PGPC,0,,0,
13878755,9,2013-04-19,FTFI,0,,0,
13878755,11,2013-05-15,OIPE,0,,0,
13878755,15,2013-08-01,PG-ISSUE,0,,0,
13878755,16,2013-10-12,DOCK,0,,0,
13878755,17,2015-04-08,DOCK,0,,0,
13878755,21,2015-05-14,CTNF,0,,0,
13878755,23,2015-05-18,MCTNF,341,PTO,42.4,
13878755,24,2015-06-25,A...,0,,0,
13878755,25,2015-07-06,FWDX,0,,0,
13878755,27,2015-07-08,EX.R,0,,0,
13878755,28,2015-07-13,N/=.,0,,0,
13878755,29,2015-07-13,DVER,0,,0,
13878755,33,2015-07-16,MN/=.,0,,0,
13878755,36,2015-08-31,CCRDY,0,,0,
13878755,37,2015-09-23,IFEE,0,,0,
13878755,38,2015-09-23,N084,0,,0,
13878755,40,2015-10-02,D1935,0,,0,
13878755,39,2015-10-02,PILS,0,,0,
13878755,42,2015-11-03,PTAC,0,,0,
13878755,42.5,2015-11-03,PTA36M,0,,42.4,
14066982,14,2014-02-27,PG-ISSUE,0,,0,
14066982,15,2014-02-28,EML_NTR,0,,0,
13008800,140.5,2015-11-03,PTA36M,80,PTO,.5,
14066982,19,2014-05-30,CTRS,0,,0,
14066982,21,2014-06-04,MCTRS,0,,0,
14066982,22,2014-06-04,EML_NTF,0,,0,
14066982,23,2014-06-04,ELC_RVW,0,,0,
14066982,25.1,2014-08-04,A.I.,0,,0,
14066982,25,2014-08-04,ELC.,0,,0,
14066982,24,2014-08-06,WIDS,0,,0,
14066982,27,2014-08-06,EIDS.,0,,0,
14066982,26,2014-08-07,FWDX,0,,0,
14066982,29,2014-08-21,EML_NTR,0,,0,
14066982,28,2014-08-21,PA..,0,,0,
14066982,33,2014-10-03,EML_NTR,0,,0,
14066982,32,2014-10-03,NINA,0,,0,
14066982,34,2014-11-03,ELC.,91,APPL,25,
14066982,35,2014-11-22,FWDX,0,,0,
14066982,39,2014-12-13,IDSC,0,,0,
13755226,.5,2013-01-31,EFILE,0,,0,
13755226,33,2014-12-18,MCTNF,0,,25,
13755226,40,2015-04-13,MCTFR,0,,36,
13755226,54,2015-06-26,MN/=.,0,,45,
13755226,75,2015-11-03,PTAC,0,,72,
13755226,25,2014-10-01,ELC.,0,,22,
13755226,36,2015-03-17,A...,0,,33,
13755226,45,2015-06-11,A.NE,0,,40,
13755226,70,2015-09-28,IFEE,0,,54,
12868530,28,2012-10-09,M844,0,,0,
12868530,26,2012-10-09,WIDS,0,,0,
12868530,25,2012-10-10,EML_NTF,0,,0,
12868530,27,2012-10-10,ELC_RVW,0,,0,
12868530,24,2012-10-10,MCTNF,351,PTO,.5,
12868530,29,2013-01-08,A...,0,,0,
12868530,30,2013-01-22,FWDX,0,,0,
12868530,32,2013-03-10,CTFR,0,,0,
12868530,35,2013-03-14,EML_NTF,0,,0,
12868530,34,2013-03-14,MCTFR,0,,0,
12868530,36,2013-03-14,ELC_RVW,0,,0,
12868530,37,2013-08-01,BRCE,0,,0,
12868530,40,2013-08-01,RCEX,48,APPL,34,
12868530,38,2013-08-01,XT/G,0,,0,
12868530,42,2013-08-05,FWDX,0,,0,
13147195,.5,2010-01-05,NEFILE,0,,0,
13147195,117.4,2011-08-05,COMMN,0,,0,
13147195,96,2015-06-25,MN/=.,102,,78,
13147195,67,2014-12-15,MCTFR,0,,56,
13147195,96,2015-06-25,MN/=.,0,,78,
13147195,117,2015-11-03,PTAC,0,,105,
13147195,35,2013-07-07,A...,0,,34,
13147195,56,2014-11-04,A...,0,,45,
13147195,78,2015-03-16,RCEX,0,,67,
13147195,104,2015-09-15,IFEE,0,,96,
13147195,12,2011-08-05,371COMP,0,,0,
13147195,4,2011-08-16,FLRCPT.O,0,,0,
13147195,5,2011-08-16,WIDS,0,,0,
13147195,3,2011-08-16,M923,0,,0,
13147195,28,2011-08-16,IDSC,0,,0,
13147195,15,2011-08-16,EIDS.,0,,0,
13147195,16,2011-08-25,A.PE,0,,0,
13147195,8,2011-08-25,ADDFLFEE,0,,0,
13147195,6,2011-10-06,WIDS,0,,0,
13147195,17,2011-10-06,EIDS.,0,,0,
13147195,29,2011-10-06,IDSC,0,,0,
13147195,10,2011-11-07,FLRCPT.U,0,,0,
13147195,11,2011-11-07,OIPE,0,,0,
13147195,9,2011-11-07,M903,0,,0,
13147195,13,2011-11-09,DOCK,0,,0,
13147195,20,2011-11-24,M844,0,,0,
13147195,21,2011-11-24,RCAP,0,,0,
13147195,30,2011-11-24,IDSC,0,,0,
14398804,46,2015-07-20,MN/=.,0,,29,
14398804,57,2015-11-03,PTAC,0,,53,
14398804,29,2015-06-25,A...,0,,22,
14398804,52,2015-09-30,IFEE,0,,46,
14398804,0,2014-11-04,PTA.RFE,0,,0,
14398804,10,2014-12-04,371COMP,0,,0,
14398804,8,2015-02-02,FTFI,0,,0,
14398804,9,2015-02-02,PGPC,0,,0,
14398804,6,2015-02-03,FLRCPT.O,0,,0,
14398804,5,2015-02-03,M903,0,,0,
14398804,11,2015-02-03,EML_NTR,0,,0,
14398804,12,2015-02-03,EML_NTR,0,,0,
14398804,13,2015-02-06,OIPE,0,,0,
14398804,14,2015-02-06,COMP,0,,0,
14398804,15,2015-02-11,DOCK,0,,0,
14398804,20,2015-03-20,CTNF,0,,0,
14398804,22,2015-03-26,MCTNF,0,,0,
14398804,23,2015-03-26,EML_NTF,0,,0,
14398804,24,2015-03-26,ELC_RVW,0,,0,
14398804,25,2015-05-14,PG-ISSUE,0,,0,
14398804,26,2015-05-15,EML_NTR,0,,0,
14398804,29,2015-06-25,A...,0,,0,
13364472,19,2012-07-25,OIPE,0,,0,
13364472,22,2012-12-06,DOCK,0,,0,
13364472,23,2013-03-15,DOCK,0,,0,
13364472,24,2013-08-08,PG-ISSUE,0,,0,
13364472,25,2013-08-09,EML_NTR,0,,0,
13364472,26,2014-09-25,DOCK,0,,0,
13364472,31,2014-11-13,CTNF,0,,0,
13364472,33,2014-11-14,IDSC,0,,0,
13364472,36,2014-11-19,EML_NTF,0,,0,
13364472,37,2014-11-19,ELC_RVW,0,,0,
13364472,35,2014-11-19,MCTNF,596,PTO,.5,
13364472,38,2015-02-19,A...,0,,0,
13364472,39,2015-02-22,FWDX,0,,0,
13364472,40,2015-06-02,CTFR,0,,0,
13364472,42,2015-06-08,MCTFR,0,,0,
13364472,43,2015-06-08,EML_NTF,0,,0,
13364472,44,2015-06-08,ELC_RVW,0,,0,
13364472,45,2015-08-10,AF/D,0,,0,
13364472,46,2015-08-10,A.NE,0,,0,
13364472,47,2015-08-14,FWDX,0,,0,
13364472,49,2015-09-08,EX.A,0,,0,
13364472,51,2015-09-09,DVER,0,,0,
13364472,50,2015-09-09,N/=.,0,,0,
13364472,55,2015-09-14,MN/=.,0,,0,
13364472,58,2015-09-14,ELC_RVW,0,,0,
13364472,56,2015-09-14,EML_NTF,0,,0,
13364472,61,2015-10-02,N084,0,,0,
13364472,59,2015-10-02,IFEE,0,,0,
13364472,62,2015-10-06,PILS,0,,0,
13364472,63,2015-10-06,D1935,0,,0,
14616454,0,2015-02-06,PTA.RFE,0,,0,
14616454,1,2015-02-06,IEXX,0,,0,
14616454,3,2015-02-06,SCAN,0,,0,
14616454,6,2015-02-06,PDREQUST,0,,0,
14616454,5,2015-02-06,APPERMS,0,,0,
14616454,9,2015-02-06,PTA.RFE,0,,0,
14616454,2,2015-02-06,BIG.,0,,0,
14616454,4,2015-02-10,L194,0,,0,
14616454,10,2015-02-23,FTFI,0,,0,
14616454,11,2015-02-23,OIPE,0,,0,
14616454,7,2015-02-23,FLRCPT.O,0,,0,
14616454,8,2015-02-23,COMP,0,,0,
14616454,12,2015-03-09,DOCK,0,,0,
14616454,13,2015-03-13,PD.RECVD,0,,0,
14616454,17,2015-04-06,CTNF,0,,0,
14616454,19,2015-04-09,MCTNF,0,,0,
14616454,20,2015-06-04,PG-ISSUE,0,,0,
14616454,21,2015-07-09,A...,0,,0,
14616454,22,2015-07-15,FWDX,0,,0,
14616454,24,2015-07-27,EX.A,0,,0,
13475619,27,2014-03-06,CTNF,0,,0,
13475619,31,2014-03-11,EML_NTF,0,,0,
13475619,32,2014-03-11,ELC_RVW,0,,0,
13475619,30,2014-03-11,MCTNF,236,PTO,.5,
13475619,33,2014-06-11,A...,0,,0,
13475619,34,2014-06-12,FWDX,0,,0,
13475619,35,2014-09-22,CTFR,0,,0,
13953779,12,2013-11-15,CORRDRW,0,,0,
13953779,29,2013-11-15,C614,0,,0,
13953779,17,2013-11-22,FTFI,0,,0,
13953779,14,2013-11-22,FLRCPT.U,0,,0,
13953779,15,2013-11-22,OIPE,0,,0,
13953779,16,2013-11-22,COMP,0,,0,
13953779,19,2013-11-26,PD.RECVD,0,,0,
13953779,18,2013-11-26,DOCK,0,,0,
13953779,96,2013-11-26,RQPR,0,,0,
13953779,31,2013-12-03,CTNF,0,,0,
13953779,33,2013-12-06,MCTNF,0,,0,
13953779,35,2014-01-08,M844,0,,0,
13953779,34,2014-01-08,WIDS,0,,0,
13953779,36,2014-03-06,PG-ISSUE,0,,0,
13953779,37,2014-06-05,XT/G,0,,0,
13953779,38,2014-06-05,A...,91,APPL,33,
13953779,39,2014-06-09,FWDX,0,,0,
13953779,40,2014-06-09,IDSC,0,,0,
13953779,42,2014-06-09,EX.R,0,,0,
13953779,43,2014-06-10,WIDS,0,,0,
13896744,77,2015-11-03,PTAC,0,,0,
13896744,77.5,2015-11-03,PTA36M,0,,.5,
13744739,.5,2013-01-18,EFILE,0,,0,
13744739,37,2015-11-03,PTAC,0,,33,
13744739,32,2015-09-28,IFEE,0,,27,
13744739,2,2013-01-18,SCAN,0,,0,
13744739,5,2013-01-18,APPERMS,0,,0,
13744739,10,2013-01-18,M844,0,,0,
13744739,3,2013-01-18,WIDS,0,,0,
13744739,1,2013-01-18,IEXX,0,,0,
13744739,4,2013-01-23,L194,0,,0,
13744739,8,2013-02-13,PGPC,0,,0,
13744739,13,2013-02-13,C602,0,,0,
13744739,6,2013-02-14,COMP,0,,0,
13744739,7,2013-02-14,FLRCPT.O,0,,0,
13744739,11,2013-02-22,RQPR,0,,0,
13744739,9,2013-04-05,OIPE,0,,0,
13744739,12,2013-06-03,DOCK,0,,0,
13744739,14,2013-07-25,PG-ISSUE,0,,0,
13744739,15,2014-06-23,DOCK,0,,0,
13744739,21,2015-06-25,EX.R,0,,0,
13744739,16,2015-06-25,IDSC,0,,0,
13744739,24,2015-06-30,N/=.,0,,0,
13744739,22,2015-06-30,DVER,0,,0,
13744739,28,2015-07-07,EML_NTF,0,,0,
13744739,27,2015-07-07,MN/=.,476,PTO,.5,
13744739,30,2015-07-15,PST_CRD,0,,0,
12937072,.5,2009-04-08,NEFILE,0,,0,
14066982,40,2014-12-13,CTNF,0,,0,
14066982,44,2014-12-18,ELC_RVW,0,,0,
14066982,42,2014-12-18,MCTNF,0,,0,
14066982,43,2014-12-18,EML_NTF,0,,0,
14066982,45,2015-03-18,A...,0,,0,
14066982,46,2015-03-25,FWDX,0,,0,
14066982,51,2015-05-22,EXIE,0,,0,
14066982,53,2015-05-22,EX.A,0,,0,
14066982,52,2015-05-22,EXET,0,,0,
14066982,54,2015-05-22,EX.R,0,,0,
14066982,56,2015-05-28,DVER,0,,0,
13755226,5,2013-01-31,PDREQUST,0,,0,
13755226,14,2013-01-31,EIDS.,0,,0,
13755226,2,2013-01-31,SCAN,0,,0,
13755226,1,2013-01-31,IEXX,0,,0,
13755226,3,2013-01-31,WIDS,0,,0,
13755226,4,2013-02-04,L194,0,,0,
13755226,7,2013-02-27,PGPC,0,,0,
13755226,11,2013-02-28,COMP,0,,0,
13755226,8,2013-02-28,PA..,0,,0,
13755226,10,2013-02-28,EML_NTR,0,,0,
13755226,9,2013-02-28,EML_NTR,0,,0,
13755226,6,2013-02-28,FLRCPT.O,0,,0,
13755226,12,2013-04-11,OIPE,0,,0,
13755226,13,2013-04-12,DOCK,0,,0,
13755226,15,2013-05-23,LET.,0,,0,
13755226,16,2014-01-06,PD.RECVD,0,,0,
13755226,17,2014-02-06,PG-ISSUE,0,,0,
13755226,18,2014-02-07,EML_NTR,0,,0,
13755226,19,2014-05-15,DOCK,0,,0,
13755226,20,2014-07-29,CTRS,0,,0,
13755226,23,2014-08-01,EML_NTF,0,,0,
13755226,22,2014-08-01,MCTRS,123,PTO,.5,
13755226,24,2014-08-01,ELC_RVW,0,,0,
13755226,25,2014-10-01,ELC.,0,,0,
13755226,26,2014-10-02,FWDX,0,,0,
13755226,27,2014-12-13,IDSC,0,,0,
13755226,31,2014-12-13,CTNF,0,,0,
13755226,35,2014-12-18,ELC_RVW,0,,0,
13755226,33,2014-12-18,MCTNF,0,,0,
13755226,34,2014-12-18,EML_NTF,0,,0,
13755226,36,2015-03-17,A...,0,,0,
13755226,37,2015-03-19,FWDX,0,,0,
13755226,38,2015-04-07,CTFR,0,,0,
13755226,42,2015-04-13,ELC_RVW,0,,0,
13755226,40,2015-04-13,MCTFR,0,,0,
13755226,41,2015-04-13,EML_NTF,0,,0,
12868530,39,2013-08-05,ABN9,0,,0,
12868530,45,2013-08-12,CTNF,0,,0,
12868530,48,2013-08-15,ELC_RVW,0,,0,
12868530,47,2013-08-15,EML_NTF,0,,0,
12868530,46,2013-08-15,MCTNF,0,,0,
12868530,49,2014-02-14,XT/G,0,,0,
12868530,50,2014-02-14,A...,91,APPL,46,
12868530,51,2014-02-25,FWDX,0,,0,
12868530,52,2014-05-17,CTFR,0,,0,
12868530,54,2014-05-21,MCTFR,0,,0,
12868530,55,2014-05-21,EML_NTF,0,,0,
12868530,56,2014-05-21,ELC_RVW,0,,0,
12868530,57,2014-08-19,C.AD,0,,0,
12868530,58,2014-08-20,PA..,0,,0,
12868530,61,2014-08-21,RCEX,0,,0,
12868530,59,2014-08-21,BRCE,0,,0,
12868530,63,2014-08-22,FWDX,0,,0,
12868530,60,2014-08-22,ABN9,0,,0,
12868530,64,2015-01-05,CTNF,0,,0,
13147195,19,2011-11-24,WIDS,0,,0,
13147195,18,2011-11-25,PG-ISSUE,0,,0,
13147195,22,2012-08-30,DOCK,0,,0,
13147195,31,2012-11-30,IDSC,0,,0,
13147195,24,2012-11-30,EIDS.,0,,0,
14398804,27,2015-06-25,WIDS,0,,0,
14398804,28,2015-06-25,EIDS.,0,,0,
14398804,30,2015-06-30,FWDX,0,,0,
14398804,31,2015-07-06,IDSC,0,,0,
14398804,36,2015-07-08,EX.R,0,,0,
14398804,43,2015-07-15,N/=.,0,,0,
14398804,40,2015-07-15,DVER,0,,0,
14398804,42,2015-07-15,DOCK,0,,0,
14398804,48,2015-07-20,ELC_RVW,0,,0,
14398804,47,2015-07-20,EML_NTF,0,,0,
14398804,46,2015-07-20,MN/=.,0,,0,
14398804,51,2015-08-31,CCRDY,0,,0,
14398804,52,2015-09-30,IFEE,0,,0,
13364472,65,2015-11-03,PTAC,0,,0,
13364472,65.5,2015-11-03,PTA36M,274,PTO,.5,
14616454,27,2015-07-27,DVER,0,,0,
14616454,26,2015-07-27,EXET,0,,0,
14616454,25,2015-07-27,EXIE,0,,0,
14616454,30,2015-07-27,N/=.,0,,0,
14616454,40,2015-07-29,MN/=.,0,,0,
14616454,42,2015-08-31,CCRDY,0,,0,
14616454,44,2015-09-30,IFEE,0,,0,
14616454,45,2015-09-30,N084,0,,0,
14616454,47,2015-10-02,D1935,0,,0,
14616454,46,2015-10-02,PILS,0,,0,
14616454,48,2015-10-05,D1935,0,,0,
14616454,50,2015-11-03,PTAC,0,,0,
14616454,50.5,2015-11-03,PTA36M,0,,.5,
13678651,.5,2012-11-16,EFILE,0,,0,
13678651,52,2015-07-29,MN/=.,0,,43,
13678651,60,2015-11-03,PTAC,0,,56,
13678651,28,2014-09-16,ELC.,0,,18,
13678651,43,2015-07-08,A...,0,,40,
13678651,55,2015-09-30,IFEE,0,,52,
13678651,1,2012-11-16,IEXX,0,,0,
13678651,3,2012-11-16,WIDS,0,,0,
13678651,37,2012-11-16,IDSC,0,,0,
13475619,37,2014-09-25,MCTFR,0,,0,
