application_number,pta_sequence_number,pta_event_date,pta_event_code,delay_duration,responsible_party,start_pta_sequence_number,term_extension_indicator
12974515,29,2013-05-30,PST_CRD,0,,0,
12974515,30,2013-08-21,BRCE,0,,0,
12974515,32,2013-08-21,RCEX,0,,0,
12974515,34,2013-08-22,FWDX,0,,0,
12974515,31,2013-08-22,ABN9,0,,0,
12974515,40,2014-04-21,EX.R,0,,0,
12974515,42,2014-04-25,N/=.,0,,0,
12974515,41,2014-04-25,DVER,0,,0,
12974515,48,2014-05-01,ELC_RVW,0,,0,
12974515,47,2014-05-01,EML_NTF,0,,0,
12974515,46,2014-05-01,MN/=.,131,PTO,32,
12974515,50,2014-07-26,M327-D,0,,0,
12974515,51,2014-07-29,MM327-D,0,,0,
12974515,52,2014-07-29,EML_NTR,0,,0,
12974515,53,2014-07-30,IFEE,0,,0,
12974515,54,2014-07-30,LET.,35,APPL,60,
12974515,56,2014-07-30,N084,0,,0,
12974515,57,2014-08-04,PILS,0,,0,
12974515,58,2014-08-04,D1935,0,,0,
12974515,60,2014-09-02,PTAC,0,,0,
12974515,60.5,2013-08-20,PTA36M,0,,.5,
13454100,20,2012-09-19,PGPC,0,,0,
13454100,19,2012-09-19,FLRCPT.U,0,,0,
13454100,21,2012-09-19,COMP,0,,0,
13454100,22,2012-10-09,OIPE,0,,0,
13454100,48,2012-11-27,RQPR,0,,0,
13454100,26,2012-12-27,PG-ISSUE,0,,0,
13454100,27,2013-04-29,DOCK,0,,0,
13454100,28,2013-07-06,DOCK,0,,0,
13454100,29,2013-10-23,CTRS,0,,0,
13454100,31,2013-10-25,MCTRS,123,PTO,.5,
13454100,32,2013-11-25,ELC.,0,,0,
13454100,33,2013-11-25,FWDX,0,,0,
13454100,35,2013-12-11,CTNF,0,,0,
13454100,37,2013-12-12,MCTNF,0,,0,
13454100,38,2014-03-12,A...,0,,0,
13454100,39,2014-03-13,FWDX,0,,0,
13454100,44,2014-03-27,EX.A,0,,0,
13454100,45,2014-03-27,EX.R,0,,0,
13454100,46,2014-04-07,DVER,0,,0,
13454100,51,2014-04-14,N/=.,0,,0,
13454100,49,2014-04-14,DVER,0,,0,
13454100,55,2014-04-15,MN/=.,0,,0,
13454100,58,2014-06-07,DRWF,0,,0,
13454100,59,2014-06-09,A.NA,0,,0,
13454100,65,2014-06-12,N084,0,,0,
13454100,60,2014-06-14,PUBTC,0,,0,
13454100,61,2014-06-17,M327,0,,0,
13454100,64,2014-06-23,TCPB,0,,0,
13454100,63,2014-06-23,MM327,17,APPL,58,
13454100,66,2014-06-23,N271,0,,0,
13454100,68,2014-07-30,D1935,0,,0,
13454100,67,2014-07-30,PILS,0,,0,
13454100,70,2014-09-02,PTAC,0,,0,
13454100,70.5,2014-09-02,PTA36M,0,,.5,
12084270,46,2014-06-30,DVER,0,,0,
12084270,45,2014-06-30,N/=.,0,,0,
12084270,44,2014-06-30,EX.R,0,,0,
12084270,50,2014-07-07,MN/=.,579,PTO,40,
12084270,51,2014-07-07,EML_NTF,0,,0,
12084270,52,2014-07-07,ELC_RVW,0,,0,
12084270,55,2014-07-28,N084,0,,0,
12084270,54,2014-07-28,IFEE,0,,0,
12084270,56,2014-08-02,PILS,0,,0,
12084270,57,2014-08-02,D1935,0,,0,
12084270,60,2014-09-02,PTAC,0,,0,
12084270,60.5,2012-07-31,PTA36M,250,PTO,60.4,
12084270,50,2014-07-07,MN/=.,4,,0,
12084270,.5,2007-05-24,NEFILE,0,,0,
12084270,60.4,2008-11-24,COMMN,0,,0,
12084270,60,2014-09-02,PTAC,763,,40,
12084270,60,2014-09-02,PTAC,0,,55,
12950924,.5,2010-11-19,EFILE,0,,0,
12950924,100,2014-09-02,PTAC,560,,67,
12950924,42,2012-05-22,MCTNF,0,,34,
12950924,53,2012-10-31,MCTFR,0,,49,
12950924,100,2014-09-02,PTAC,0,,96,
12950924,0,2014-09-02,PTA36M,0,,0,
12950924,34,2012-04-30,ELC.,0,,33,
12950924,6,2011-02-01,FLFEE,0,,5,
12950924,1,2010-11-19,IEXX,0,,0,
12950924,2,2010-11-19,SCAN,0,,0,
12950924,8,2010-11-19,CLAIM,0,,0,
12950924,3,2010-11-24,L194,0,,0,
12950924,5,2010-12-09,INCD,0,,0,
12950924,4,2010-12-09,FLRCPT.O,0,,0,
12950924,6,2010-12-10,CORRDRW,0,,0,
12950924,17,2010-12-10,C614,0,,0,
12950924,16,2010-12-10,A.PE,0,,0,
12950924,7,2010-12-20,INCR,0,,0,
12950924,18,2011-02-01,A.PE,0,,0,
12950924,9,2011-02-01,OATHDECL,0,,0,
12950924,10,2011-02-01,FLFEE,0,,0,
12950924,11,2011-02-09,FLRCPT.U,0,,0,
12950924,13,2011-02-09,COMP,0,,0,
12950924,12,2011-02-09,PGPC,0,,0,
13481669,.5,2012-05-25,EFILE,0,,0,
13481669,55,2014-09-02,PTAC,0,,51,
13481669,51,2014-07-25,N084,0,,45,
13481669,11,2012-08-13,ADDFLFEE,0,,6,
13481669,2,2012-05-25,SCAN,0,,0,
13481669,4,2012-05-25,PDREQUST,0,,0,
13481669,1,2012-05-25,IEXX,0,,0,
13481669,3,2012-05-29,L194,0,,0,
13481669,5,2012-06-12,FLRCPT.O,0,,0,
13481669,6,2012-06-12,INCD,0,,0,
13481669,10,2012-06-12,WIDS,0,,0,
13481669,8,2012-06-12,EML_NTF,0,,0,
13481669,7,2012-06-12,EML_NTR,0,,0,
13481669,9,2012-06-12,ELC_RVW,0,,0,
13481669,18,2012-06-12,EIDS.,0,,0,
13481669,12,2012-08-13,ADDFLFEE,0,,0,
13481669,11,2012-08-13,OATHDECL,0,,0,
13481669,14,2012-08-22,PGPC,0,,0,
13481669,16,2012-08-23,COMP,0,,0,
13481669,15,2012-08-23,EML_NTR,0,,0,
13481669,13,2012-08-23,FLRCPT.U,0,,0,
13481669,17,2012-09-13,OIPE,0,,0,
12950924,19,2011-02-22,M844,0,,0,
12950924,36,2011-02-22,IDSC,0,,0,
12950924,14,2011-02-22,WIDS,0,,0,
12950924,15,2011-03-03,OIPE,0,,0,
12950924,20,2011-05-26,PG-ISSUE,0,,0,
12950924,21,2011-09-12,WIDS,0,,0,
12950924,22,2011-09-12,EIDS.,0,,0,
12950924,37,2011-09-12,IDSC,0,,0,
12950924,23,2011-12-07,A.PE,0,,0,
12950924,24,2011-12-07,PET.,0,,0,
12950924,25,2012-02-06,P003,0,,0,
12950924,26,2012-02-06,MP003,0,,0,
12950924,27,2012-02-25,DOCK,0,,0,
12950924,28,2012-03-15,DOCK,0,,0,
12950924,31,2012-03-23,CTRS,0,,0,
12950924,33,2012-03-29,MCTRS,70,PTO,.5,
12950924,34,2012-04-30,ELC.,0,,0,
12950924,35,2012-05-01,FWDX,0,,0,
12950924,40,2012-05-18,CTNF,0,,0,
12950924,42,2012-05-22,MCTNF,0,,0,
12950924,43,2012-09-11,EXAT,0,,0,
12950924,44,2012-09-11,EXIA,0,,0,
12950924,47,2012-09-18,MEXAT,0,,0,
12950924,49,2012-09-24,A...,33,APPL,42,
12950924,48,2012-09-24,XT/G,0,,0,
12950924,50,2012-09-27,FWDX,0,,0,
12950924,51,2012-10-18,CTFR,0,,0,
12950924,53,2012-10-31,MCTFR,0,,0,
12950924,54,2013-01-29,EXAP,0,,0,
12950924,55,2013-01-29,EXIA,0,,0,
12950924,58,2013-01-31,A.NE,0,,0,
12950924,59,2013-02-06,FWDX,0,,0,
13481669,20,2012-11-12,EIDS.,0,,0,
13481669,19,2012-11-12,WIDS,0,,0,
13481669,21,2012-11-29,PG-ISSUE,0,,0,
13481669,22,2012-11-30,EML_NTR,0,,0,
13481669,23,2013-01-03,RQPR,0,,0,
13481669,24,2013-04-11,DOCK,0,,0,
13481669,25,2013-08-15,DOCK,0,,0,
13481669,26,2014-03-12,WIDS,0,,0,
13481669,39,2014-05-07,EX.R,0,,0,
13481669,38,2014-05-07,EX.A,0,,0,
13481669,29,2014-05-07,IDSC,0,,0,
13481669,30,2014-05-07,IDSC,0,,0,
13481669,31,2014-05-07,IDSC,0,,0,
13481669,40,2014-05-12,N/=.,0,,0,
13481669,47,2014-05-15,ELC_RVW,0,,0,
13481669,45,2014-05-15,MN/=.,294,PTO,.5,
13481669,46,2014-05-15,EML_NTF,0,,0,
13481669,50,2014-07-25,IFEE,0,,0,
13481669,51,2014-07-25,N084,0,,0,
13481669,52,2014-07-31,PILS,0,,0,
13481669,53,2014-08-01,D1935,0,,0,
13481669,55,2014-09-02,PTAC,0,,0,
13481669,55.5,2014-09-02,PTA36M,0,,.5,
12950924,61,2013-02-08,CTAV,0,,0,
12950924,60,2013-02-08,MEXAP,0,,0,
12950924,63,2013-02-11,MCTAV,0,,0,
12950924,65,2013-02-20,XT/G,0,,0,
12950924,67,2013-02-20,RCEX,20,APPL,53,
12950924,64,2013-02-20,BRCE,0,,0,
12950924,69,2013-02-21,FWDX,0,,0,
12950924,66,2013-02-21,ABN9,0,,0,
12950924,73,2014-04-29,EXIE,0,,0,
12950924,74,2014-04-29,EXET,0,,0,
12950924,72,2014-05-01,EX.R,0,,0,
12950924,71,2014-05-01,EX.A,0,,0,
12950924,78,2014-05-04,DVER,0,,0,
12950924,77,2014-05-04,N/=.,0,,0,
12950924,86,2014-05-07,EML_NTF,0,,0,
12950924,87,2014-05-07,ELC_RVW,0,,0,
12950924,85,2014-05-07,MN/=.,321,PTO,67,
12950924,89,2014-06-19,PUBTC,0,,0,
12950924,90,2014-06-26,M327,0,,0,
12950924,93,2014-07-01,EML_NTR,0,,0,
12950924,92,2014-07-01,MM327,0,,0,
12950924,96,2014-07-25,N084,0,,0,
12950924,95,2014-07-25,IFEE,0,,0,
12950924,98,2014-08-01,D1935,0,,0,
12950924,97,2014-08-01,PILS,0,,0,
12950924,100,2014-09-02,PTAC,0,,0,
12950924,100.5,2013-02-19,PTA36M,0,,.5,
13226948,.5,2011-09-07,EFILE,0,,0,
13226948,48,2014-04-25,MN/=.,0,,40,
13226948,57,2014-09-02,PTAC,0,,53,
13226948,40,2014-04-02,A...,0,,35,
13226948,53,2014-07-25,N084,0,,48,
13226948,2,2011-09-07,SCAN,0,,0,
13226948,20,2011-09-07,WIDS,0,,0,
13226948,16,2011-09-07,RCAP,0,,0,
13226948,15,2011-09-07,M844,0,,0,
13226948,1,2011-09-07,IEXX,0,,0,
13226948,29,2011-09-07,IDSC,0,,0,
13226948,3,2011-09-08,L194,0,,0,
13226948,5,2011-09-20,FLRCPT.O,0,,0,
13226948,4,2011-09-20,INCD,0,,0,
13226948,6,2011-11-15,POSTCARD,0,,0,
13226948,7,2011-11-15,ADDFLFEE,0,,0,
13226948,30,2011-11-15,IDSC,0,,0,
13226948,19,2011-11-15,WIDS,0,,0,
13226948,18,2011-11-15,RCAP,0,,0,
13226948,17,2011-11-15,M844,0,,0,
13226948,8,2011-11-23,INCR,0,,0,
13226948,10,2012-02-07,ADDFLFEE,49,APPL,4,
13226948,9,2012-02-07,OATHDECL,0,,0,
13226948,12,2012-02-14,PGPC,0,,0,
13226948,13,2012-02-15,COMP,0,,0,
13226948,11,2012-02-15,FLRCPT.U,0,,0,
13226948,14,2012-03-07,OIPE,0,,0,
13226948,21,2012-05-02,DOCK,0,,0,
13226948,22,2012-05-21,PET.,0,,0,
13226948,23,2012-05-21,A.PE,0,,0,
13226948,24,2012-05-24,PG-ISSUE,0,,0,
13226948,25,2012-07-19,PTDI,0,,0,
13226948,26,2012-07-19,MPTDI,0,,0,
13226948,27,2012-11-02,DOCK,0,,0,
13226948,28,2012-11-19,DOCK,0,,0,
13226948,33,2014-01-17,CTNF,0,,0,
13226948,35,2014-01-27,MCTNF,446,PTO,.5,
13226948,36,2014-01-27,EML_NTF,0,,0,
13226948,37,2014-01-27,ELC_RVW,0,,0,
13226948,38,2014-01-30,C.AD,0,,0,
13226948,39,2014-02-05,PA..,0,,0,
13226948,40,2014-04-02,A...,0,,0,
13226948,41,2014-04-11,FWDX,0,,0,
13226948,44,2014-04-21,DVER,0,,0,
13226948,45,2014-04-24,N/=.,0,,0,
13226948,48,2014-04-25,MN/=.,0,,0,
13226948,51,2014-07-25,IFEE,0,,0,
13226948,53,2014-07-25,N084,0,,0,
13226948,52,2014-07-25,BIG.,0,,0,
13226948,54,2014-07-28,PILS,0,,0,
13226948,55,2014-07-28,D1935,0,,0,
13226948,57,2014-09-02,PTAC,0,,0,
13226948,57.5,2014-09-02,PTA36M,0,,.5,
13155651,45,2014-07-10,MN/=.,0,,0,
13155651,43,2014-07-10,DVER,0,,0,
13155651,37,2014-07-10,N/=.,0,,0,
13155651,47,2014-07-25,IFEE,0,,0,
13155651,48,2014-07-25,N084,0,,0,
13155651,49,2014-08-04,PILS,0,,0,
13155651,50,2014-08-04,D1935,0,,0,
13155651,53,2014-09-02,PTAC,0,,0,
13155651,53.5,2014-09-02,PTA36M,86,PTO,.5,
12354242,3,2009-01-15,L194,0,,0,
12354242,1,2009-01-15,IEXX,0,,0,
12354242,5,2009-01-30,PGPC,0,,0,
12354242,4,2009-01-30,FLRCPT.O,0,,0,
12354242,6,2009-02-18,OIPE,0,,0,
12354242,8,2009-03-18,M844,0,,0,
12354242,26,2009-03-18,IDSC,0,,0,
12354242,7,2009-03-18,WIDS,0,,0,
12354242,9,2009-04-20,TSSCOMP,0,,0,
12354242,11,2009-06-11,DOCK,0,,0,
12354242,12,2010-07-15,PG-ISSUE,0,,0,
12354242,13,2010-08-20,PA..,0,,0,
12354242,17,2010-10-27,WIDS,0,,0,
12354242,116,2014-07-23,N084,0,,0,
12354242,115,2014-07-23,IFEE,0,,0,
12354242,118,2014-07-29,D1935,0,,0,
12354242,117,2014-07-29,PILS,0,,0,
12354242,16,2010-10-27,RCAP,0,,0,
12354242,15,2010-10-27,M844,0,,0,
12354242,27,2010-10-27,IDSC,0,,0,
12354242,18,2011-02-11,PET.,0,,0,
12354242,19,2011-03-25,P003,0,,0,
12354242,20,2011-03-25,MP003,0,,0,
12354242,21,2011-04-04,DOCK,0,,0,
12354242,22,2011-04-25,DOCK,0,,0,
12354242,23,2011-05-05,DOCK,0,,0,
12354242,24,2011-05-06,DOCK,0,,0,
12354242,31,2011-09-26,CTNF,0,,0,
12354242,36,2011-10-14,ELC_RVW,0,,0,
12354242,35,2011-10-14,EML_NTF,0,,0,
12354242,34,2011-10-14,MCTNF,578,PTO,.5,
12354242,38,2011-11-07,M844,0,,0,
12354242,39,2011-11-07,RCAP,0,,0,
12354242,120,2014-09-02,PTAC,0,,0,
12354242,120.5,2014-02-03,PTA36M,750,PTO,.5,
12354242,37,2011-11-07,WIDS,0,,0,
12354242,43,2011-11-07,IDSC,0,,0,
12354242,41,2012-02-13,A...,27,APPL,34,
12354242,40,2012-02-13,XT/G,0,,0,
12354242,42,2012-02-15,FWDX,0,,0,
12354242,45,2012-12-03,M844,294,APPL,41,
12354242,46,2012-12-03,RCAP,0,,0,
12354242,44,2012-12-03,WIDS,0,,0,
12354242,49,2012-12-03,IDSC,0,,0,
12354242,47,2012-12-10,DOCK,0,,0,
12354242,51,2012-12-21,CTNF,0,,0,
12354242,54,2013-01-07,EML_NTF,0,,0,
12354242,53,2013-01-07,MCTNF,0,PTO,41,
12354242,55,2013-01-07,ELC_RVW,0,,0,
12354242,56,2013-04-08,A...,0,,0,
12354242,58,2013-04-08,LTDR,0,,0,
12354242,57,2013-04-09,FWDX,0,,0,
12354242,59,2013-04-15,CTNF,0,,0,
12354242,61,2013-04-24,MCTNF,0,,0,
12354242,62,2013-04-25,EML_NTF,0,,0,
12354242,63,2013-04-25,ELC_RVW,0,,0,
12354242,65,2013-08-19,A...,26,APPL,61,
12354242,64,2013-08-19,XT/G,0,,0,
12354242,66,2013-08-21,FWDX,0,,0,
12354242,67,2013-09-26,CTFR,0,,0,
12354242,71,2013-10-04,ELC_RVW,0,,0,
12354242,70,2013-10-04,EML_NTF,0,,0,
12354242,69,2013-10-04,MCTFR,0,,0,
12354242,72,2013-11-26,A.NE,0,,0,
12354242,53,2013-01-07,MCTNF,208,,0,
14017677,36,2013-11-20,ELC.,0,,33,
14017677,70,2014-07-25,N084,0,,64,
14017677,1,2013-09-04,IEXX,0,,0,
14017677,41,2013-09-04,IDSC,0,,0,
14017677,4,2013-09-04,WIDS,0,,0,
14017677,7,2013-09-04,WIDS,0,,0,
14017677,3,2013-09-04,SCAN,0,,0,
14017677,29,2013-09-04,M844,0,,0,
14017677,2,2013-09-04,BIG.,0,,0,
14017677,40,2013-09-04,IDSC,0,,0,
14017677,8,2013-09-04,CRFL,0,,0,
14017677,9,2013-09-04,APPERMS,0,,0,
14017677,30,2013-09-04,RCAP,0,,0,
14017677,5,2013-09-05,L198,0,,0,
14017677,6,2013-09-06,L128,0,,0,
14017677,10,2013-09-17,CRFD,0,,0,
14017677,13,2013-09-18,PA..,0,,0,
14017677,16,2013-09-18,EML_NTR,0,,0,
14017677,17,2013-09-18,ELC_RVW,0,,0,
14017677,19,2013-09-18,CRFL,0,,0,
14017677,20,2013-09-18,ADDFLFEE,0,,0,
14017677,14,2013-09-18,EML_NTR,0,,0,
14017677,15,2013-09-18,EML_NTF,0,,0,
14017677,11,2013-09-18,FLRCPT.O,0,,0,
14017677,12,2013-09-18,SQPR,0,,0,
14017677,21,2013-09-30,CRFE,0,,0,
14017677,23,2013-10-03,OIPE,0,,0,
14017677,24,2013-10-03,COMP,0,,0,
14017677,25,2013-10-03,FTFI,0,,0,
14017677,26,2013-10-03,DOCK,0,,0,
14017677,28,2013-10-04,COMP,0,,0,
14017677,27,2013-10-04,EML_NTR,0,,0,
14017677,22,2013-10-04,FLRCPT.U,0,,0,
14017677,31,2013-11-15,CTRS,0,,0,
14017677,33,2013-11-20,MCTRS,0,,0,
14017677,34,2013-11-20,EML_NTF,0,,0,
14017677,36,2013-11-20,ELC.,0,,0,
14017677,35,2013-11-20,ELC_RVW,0,,0,
14017677,37,2013-11-22,FWDX,0,,0,
14017677,38,2014-01-09,PG-ISSUE,0,,0,
14017677,39,2014-01-10,EML_NTR,0,,0,
14017677,44,2014-01-21,CTNF,0,,0,
14017677,47,2014-01-27,EML_NTF,0,,0,
14017677,46,2014-01-27,MCTNF,0,,0,
14017677,48,2014-01-27,ELC_RVW,0,,0,
14017677,49,2014-05-27,XT/G,0,,0,
14017677,50,2014-05-27,A...,29,APPL,46,
14017677,51,2014-05-29,FWDX,0,,0,
14017677,54,2014-06-03,EXIE,0,,0,
14017677,55,2014-06-03,EXET,0,,0,
14017677,53,2014-06-04,EX.A,0,,0,
14017677,58,2014-06-05,DVER,0,,0,
14017677,57,2014-06-05,N/=.,0,,0,
14017677,56,2014-06-05,DOCK,0,,0,
14017677,66,2014-06-10,ELC_RVW,0,,0,
14017677,65,2014-06-10,EML_NTF,0,,0,
14017677,64,2014-06-10,MN/=.,0,,0,
14017677,68,2014-06-20,CRFT,0,,0,
14017677,69,2014-07-25,IFEE,0,,0,
14017677,70,2014-07-25,N084,0,,0,
14017677,.5,2013-09-04,EFILE,0,,0,
14017677,33,2013-11-20,MCTRS,0,,.5,
14017677,46,2014-01-27,MCTNF,0,,36,
14017677,64,2014-06-10,MN/=.,0,,50,
14017677,74,2014-09-02,PTAC,0,,70,
14017677,71,2014-08-07,PILS,0,,0,
14017677,72,2014-08-08,D1935,0,,0,
14017677,74,2014-09-02,PTAC,0,,0,
14017677,74.5,2014-09-02,PTA36M,0,,.5,
13599942,.5,2012-08-30,EFILE,0,,0,
13599942,37,2014-04-30,MN/=.,0,,25,
13599942,47,2014-09-02,PTAC,0,,43,
13599942,25,2014-04-11,A...,0,,22,
13599942,43,2014-07-29,N084,0,,37,
13599942,3,2012-08-30,WIDS,0,,0,
13599942,2,2012-08-30,SCAN,0,,0,
13599942,1,2012-08-30,IEXX,0,,0,
13599942,10,2012-08-30,EIDS.,0,,0,
13599942,14,2012-08-30,IDSC,0,,0,
13599942,4,2012-09-03,L194,0,,0,
13599942,6,2012-09-18,PGPC,0,,0,
13599942,5,2012-09-19,FLRCPT.O,0,,0,
13599942,7,2012-09-19,COMP,0,,0,
13599942,8,2012-10-11,OIPE,0,,0,
13599942,9,2012-10-11,DOCK,0,,0,
13599942,11,2012-11-05,DOCK,0,,0,
13599942,12,2013-03-07,PG-ISSUE,0,,0,
13599942,13,2013-03-08,EML_NTR,0,,0,
13599942,20,2014-02-07,CTNF,0,,0,
13599942,24,2014-02-25,ELC_RVW,0,,0,
13599942,22,2014-02-25,MCTNF,118,PTO,.5,
13599942,23,2014-02-25,EML_NTF,0,,0,
13599942,25,2014-04-11,A...,0,,0,
13599942,26,2014-04-14,FWDX,0,,0,
13599942,31,2014-04-28,DOCK,0,,0,
13599942,32,2014-04-28,N/=.,0,,0,
13599942,30,2014-04-28,EX.R,0,,0,
13599942,33,2014-04-28,DVER,0,,0,
13599942,37,2014-04-30,MN/=.,0,,0,
13599942,39,2014-04-30,ELC_RVW,0,,0,
13599942,38,2014-04-30,EML_NTF,0,,0,
13599942,42,2014-07-29,IFEE,0,,0,
13599942,43,2014-07-29,N084,0,,0,
13599942,44,2014-07-30,PILS,0,,0,
13599942,45,2014-07-30,D1935,0,,0,
13599942,47,2014-09-02,PTAC,0,,0,
13599942,47.5,2014-09-02,PTA36M,0,,.5,
12354242,.5,2009-01-15,EFILE,0,,0,
12354242,120,2014-09-02,PTAC,211,,80,
12354242,61,2013-04-24,MCTNF,0,,56,
12354242,69,2013-10-04,MCTFR,0,,65,
12354242,110,2014-04-30,MN/=.,0,,80,
12354242,120,2014-09-02,PTAC,0,,116,
12354242,56,2013-04-08,A...,0,,53,
12354242,116,2014-07-23,N084,0,,110,
12354242,2,2009-01-15,SCAN,0,,0,
12354242,73,2013-12-04,FWDX,0,,0,
12354242,74,2013-12-12,CTAV,0,,0,
12354242,76,2013-12-18,MCTAV,0,,0,
12354242,77,2013-12-18,EML_NTR,0,,0,
12354242,78,2014-02-03,BRCE,0,,0,
12354242,80,2014-02-04,RCEX,29,APPL,69,
12354242,82,2014-02-12,FWDX,0,,0,
12354242,79,2014-02-12,ABN9,0,,0,
12354242,87,2014-04-11,EXIE,0,,0,
12354242,88,2014-04-11,EXET,0,,0,
12354242,90,2014-04-14,EX.R,0,,0,
12354242,89,2014-04-14,EX.A,0,,0,
12354242,96,2014-04-22,DOCK,0,,0,
12354242,97,2014-04-22,N/=.,0,,0,
12354242,98,2014-04-22,DVER,0,,0,
12354242,112,2014-04-30,ELC_RVW,0,,0,
12354242,111,2014-04-30,EML_NTF,0,,0,
12354242,110,2014-04-30,MN/=.,0,,0,
13008866,.5,2011-01-18,EFILE,0,,0,
13008866,89,2014-09-02,PTAC,561,,35,
13008866,30,2012-09-17,MCTFR,0,,26,
13008866,43,2013-03-08,MCTNF,0,,35,
13008866,52,2013-10-10,MCTFR,0,,47,
13008866,77,2014-04-25,MN/=.,0,,56,
13008866,89,2014-09-02,PTAC,0,,82,
13008866,0,2014-09-02,PTA36M,0,,0,
13008866,26,2012-07-17,A...,0,,25,
13008866,82,2014-07-23,N084,0,,77,
13008866,10,2011-01-18,A.PE,0,,0,
13008866,5,2011-01-18,PDREQUST,0,,0,
13008866,1,2011-01-18,IEXX,0,,0,
13008866,2,2011-01-22,SCAN,0,,0,
13008866,3,2011-01-25,L194,0,,0,
13008866,6,2011-02-03,FLRCPT.O,0,,0,
13008866,7,2011-02-03,PGPC,0,,0,
13008866,8,2011-02-03,COMP,0,,0,
13008866,9,2011-03-03,OIPE,0,,0,
13008866,12,2011-03-07,RQPR,0,,0,
13008866,11,2011-05-12,PG-ISSUE,0,,0,
13008866,13,2011-06-16,DOCK,0,,0,
13008866,14,2011-11-04,WIDS,0,,0,
13008866,15,2011-11-04,M844,0,,0,
13008866,19,2011-11-04,IDSC,0,,0,
13008866,17,2011-12-27,M844,0,,0,
13008866,16,2011-12-27,WIDS,0,,0,
13008866,20,2011-12-27,IDSC,0,,0,
13008866,18,2012-03-30,DOCK,0,,0,
13008866,23,2012-04-13,CTNF,0,,0,
13008866,25,2012-04-17,MCTNF,30,PTO,.5,
13008866,26,2012-07-17,A...,0,,0,
13008866,27,2012-07-19,FWDX,0,,0,
13008866,28,2012-09-11,CTFR,0,,0,
13008866,30,2012-09-17,MCTFR,0,,0,
13008866,33,2013-02-19,XT/G,0,,0,
13008866,39,2013-02-19,M844,0,,0,
13008866,35,2013-02-19,RCEX,64,APPL,30,
13008866,31,2013-02-19,BRCE,0,,0,
13008866,32,2013-02-19,WIDS,0,,0,
13008866,38,2013-02-19,RCAP,0,,0,
13008866,40,2013-02-19,IDSC,0,,0,
13008866,37,2013-02-20,FWDX,0,,0,
13008866,34,2013-02-20,ABN9,0,,0,
13008866,41,2013-03-01,CTNF,0,,0,
13008866,43,2013-03-08,MCTNF,0,,0,
13008866,44,2013-08-15,WIDS,0,,0,
13008866,87,2014-07-29,D1935,0,,0,
13008866,86,2014-07-29,PILS,0,,0,
13008866,83,2014-07-29,M327-B,0,,0,
13008866,84,2014-07-30,MM327-B,0,,0,
13008866,89,2014-09-02,PTAC,0,,0,
13008866,89.5,2013-02-18,PTA36M,0,,.5,
12494183,117,2014-09-02,PTAC,0,,0,
12494183,117.5,2011-09-01,PTA36M,0,,.5,
13008866,49,2013-08-15,IDSC,0,,0,
13008866,45,2013-08-15,EIDS.,0,,0,
13008866,46,2013-09-09,XT/G,0,,0,
13008866,47,2013-09-09,A...,91,APPL,43,
13008866,48,2013-09-13,FWDX,0,,0,
13008866,50,2013-10-07,CTFR,0,,0,
13008866,52,2013-10-10,MCTFR,0,,0,
13008866,53,2014-04-10,BRCE,0,,0,
13008866,54,2014-04-10,XT/G,0,,0,
13008866,56,2014-04-10,RCEX,90,APPL,52,
13008866,55,2014-04-13,ABN9,0,,0,
13008866,58,2014-04-13,FWDX,0,,0,
13008866,61,2014-04-18,EXET,0,,0,
13008866,62,2014-04-18,EX.A,0,,0,
13008866,60,2014-04-18,EXIE,0,,0,
13008866,63,2014-04-18,EX.R,0,,0,
13008866,65,2014-04-21,N/=.,0,,0,
13008866,64,2014-04-21,DOCK,0,,0,
13008866,77,2014-04-25,MN/=.,0,,0,
13008866,80,2014-07-23,IFEE,0,,0,
13008866,81,2014-07-23,WIDS,42,APPL,89,
13008866,85,2014-07-23,IDSC,0,,0,
13008866,82,2014-07-23,N084,0,,0,
13538367,.5,2012-06-29,EFILE,0,,0,
13538367,50,2014-06-20,MN/=.,0,,39,
13538367,61,2014-09-02,PTAC,0,,55,
13538367,39,2014-05-21,A...,0,,30,
13538367,55,2014-07-30,N084,0,,50,
13538367,9,2012-10-15,ADDFLFEE,0,,5,
13538367,1,2012-06-29,IEXX,0,,0,
13538367,2,2012-07-02,SCAN,0,,0,
13538367,3,2012-07-05,L194,0,,0,
13538367,5,2012-07-13,INCD,0,,0,
13538367,4,2012-07-13,FLRCPT.O,0,,0,
13538367,6,2012-07-13,EML_NTR,0,,0,
13538367,7,2012-07-13,EML_NTF,0,,0,
13538367,8,2012-07-16,ELC_RVW,0,,0,
13538367,9,2012-10-15,OATHDECL,0,,0,
13538367,10,2012-10-15,ADDFLFEE,0,,0,
13739155,.5,2013-01-11,EFILE,0,,0,
13739155,39,2014-05-08,MN/=.,0,,24,
13739155,47,2014-09-02,PTAC,0,,43,
13739155,24,2014-04-22,A...,0,,23,
13739155,43,2014-07-25,N084,0,,39,
13739155,2,2013-01-11,SCAN,0,,0,
13739155,1,2013-01-11,IEXX,0,,0,
13739155,3,2013-01-16,L194,0,,0,
13739155,15,2013-01-21,RCAP,0,,0,
13739155,4,2013-01-21,WIDS,0,,0,
13739155,14,2013-01-21,M844,0,,0,
13739155,5,2013-02-11,CPAP,0,,0,
13739155,6,2013-02-11,FLRCPT.O,0,,0,
13538367,12,2012-10-23,PGPC,0,,0,
