application_number,pta_sequence_number,pta_event_date,pta_event_code,delay_duration,responsible_party,start_pta_sequence_number,term_extension_indicator
13443529,44.5,2014-01-28,PTA36M,0,PTO,.5,
13005664,1,2011-01-13,IEXX,0,,0,
13005664,2,2011-01-20,SCAN,0,,0,
13005664,3,2011-01-20,L194,0,,0,
13005664,4,2011-01-27,INCD,0,,0,
13005664,5,2011-01-27,FLRCPT.O,0,,0,
13058164,21,2012-03-30,EIDS.,0,,0,
13058164,25,2012-03-30,IDSC,0,,0,
13058164,22,2012-08-22,DOCK,0,,0,
13058164,23,2012-10-10,DOCK,0,,0,
13058164,24,2013-01-08,PET.,0,,0,
13058164,31,2013-01-08,A.PE,0,,0,
13058164,32,2013-02-20,CTNF,0,,0,
13058164,34,2013-02-26,MCTNF,324,PTO,7,
13058164,35,2013-02-26,EML_NTF,0,,0,
13058164,36,2013-02-26,ELC_RVW,0,,0,
13058164,37,2013-03-04,PTDE,0,,0,
13058164,38,2013-03-05,MPTDE,0,,0,
13058164,39,2013-03-09,EML_NTR,0,,0,
13058164,40,2013-05-20,A...,0,,0,
13058164,41,2013-05-21,FWDX,0,,0,
13058164,42,2013-05-30,CTFR,0,,0,
13058164,44,2013-06-05,MCTFR,0,,0,
13058164,45,2013-06-05,EML_NTF,0,,0,
13058164,46,2013-06-05,ELC_RVW,0,,0,
13058164,47,2013-09-04,BRCE,0,,0,
13058164,49,2013-09-04,RCEX,0,,0,
13058164,48,2013-09-05,ABN9,0,,0,
13058164,51,2013-09-05,FWDX,0,,0,
13058164,54,2013-09-23,DVER,0,,0,
13058164,56,2013-09-23,N/=.,0,,0,
13058164,58,2013-09-25,MN/=.,0,,0,
13058164,.5,2009-07-21,NEFILE,0,,0,
13058164,64,2013-12-23,N084,0,,0,
13058164,63,2013-12-23,IFEE,0,,0,
13058164,65,2013-12-30,PILS,0,,0,
13058164,66,2013-12-30,D1935,0,,0,
13058164,68,2014-01-28,PTAC,0,,0,
13058164,68.5,2013-09-03,PTA36M,0,PTO,68.4,
13058164,68.4,2011-02-08,COMMN,0,,0,
12233383,1,2008-09-18,IEXX,0,,0,
12233383,2,2008-09-18,SCAN,0,,0,
12233383,3,2008-09-19,L194,0,,0,
12233383,4,2008-09-24,WIDS,0,,0,
12433944,1,2009-05-01,IEXX,0,,0,
12433944,2,2009-05-01,WIDS,0,,0,
12433944,5,2009-05-01,PDREQUST,0,,0,
12248724,58,2012-08-01,FWDX,0,,0,
12248724,59,2012-09-17,CTFR,0,,0,
12248724,61,2012-09-21,MCTFR,0,,0,
12248724,62,2012-09-21,EML_NTF,0,,0,
12248724,63,2012-09-21,ELC_RVW,0,,0,
12248724,64,2013-01-22,XT/G,0,,0,
12248724,65,2013-01-22,N/AP,32,APPL,61,
12248724,67,2013-03-22,AP.B,0,,0,
12248724,67.1,2013-03-22,APBI,0,,0,
12248724,66,2013-03-26,APBR,0,,0,
12248724,68,2013-03-26,FWDX,0,,0,
12248724,69,2013-04-04,APBD,0,,0,
12248724,72,2013-04-09,AP.B,0,,0,
12248724,70,2013-04-10,EML_NTR,0,,0,
12248724,71,2013-04-17,APBR,0,,0,
12248724,73,2013-04-17,FWDX,0,,0,
12248724,74,2013-05-14,CTMS,0,,0,
12248724,76,2013-05-20,MCTMS,119,,65,
12248724,77,2013-05-20,EML_NTF,0,,0,
12248724,78,2013-05-20,ELC_RVW,0,,0,
12248724,88,2013-09-04,EX.A,0,,0,
12248724,89,2013-09-08,DOCK,0,,0,
12248724,90,2013-09-08,N/=.,0,,0,
12248724,91,2013-09-08,DVER,0,,0,
12248724,95,2013-09-19,MN/=.,0,,0,
12248724,.5,2008-10-09,EFILE,0,,0,
12248724,101,2013-10-21,P033,0,,0,
12248724,99,2013-10-21,PET.,0,,0,
12248724,100,2013-10-21,C.AD,0,,0,
12248724,102,2013-10-21,MP033,0,,0,
12248724,104,2013-12-19,IFEE,0,,0,
12248724,105,2013-12-19,N084,0,,0,
12248724,106,2013-12-23,PILS,0,,0,
12248724,107,2013-12-23,D1935,0,,0,
12248724,109,2014-01-28,PTAC,0,,0,
12248724,109.5,2011-02-28,PTA36M,0,PTO,.5,
12137877,2,2008-06-12,WIDS,0,,0,
12137877,9,2008-06-12,M844,0,,0,
12137877,10,2008-06-12,RCAP,0,,0,
12137877,15,2008-06-12,IDSC,0,,0,
12137877,3,2008-06-15,SCAN,0,,0,
12137877,4,2008-06-18,L194,0,,0,
12137877,5,2008-06-27,COMP,0,,0,
12137877,6,2008-06-27,FLRCPT.O,0,,0,
12137877,7,2008-06-27,PGPC,0,,0,
12137877,8,2008-07-29,OIPE,0,,0,
12137877,11,2008-09-24,TSSCOMP,0,,0,
12137877,12,2008-12-16,DOCK,0,,0,
12137877,13,2008-12-29,PG-ISSUE,0,,0,
12137877,16,2009-05-11,CTNF,0,,0,
12137877,17,2009-05-12,MCTNF,0,,0,
12137877,18,2009-08-12,A...,0,,0,
12137877,19,2009-10-02,FWDX,0,,0,
12137877,20,2009-12-07,CTNF,0,,0,
12137877,21,2009-12-08,MCTNF,0,,0,
12137877,22,2010-03-08,A...,0,,0,
12137877,23,2010-03-28,FWDX,0,,0,
12137877,24,2010-05-24,CTFR,0,,0,
12137877,25,2010-05-25,MCTFR,0,,0,
12137877,26,2010-07-26,A.NE,0,,0,
12137877,27,2010-07-28,FWDX,0,,0,
12137877,28,2010-08-02,CTAV,0,,0,
12137877,29,2010-08-03,MCTAV,0,,0,
12137877,30,2010-08-25,BRCE,0,,0,
12137877,32,2010-08-25,RCEX,0,,0,
12137877,31,2010-08-28,ABN9,0,,0,
12137877,34,2010-08-28,FWDX,0,,0,
12137877,35,2010-12-20,CTNF,0,,0,
12137877,36,2010-12-22,MCTNF,0,,0,
12137877,37,2011-03-22,A...,0,,0,
12137877,38,2011-03-24,FWDX,0,,0,
12137877,39,2011-05-24,CTNF,0,,0,
12137877,41,2011-05-31,MCTNF,0,,0,
12137877,42,2011-08-31,A...,0,,0,
12137877,43,2011-09-06,FWDX,0,,0,
12137877,44,2011-11-03,CTFR,0,,0,
12137877,46,2011-11-04,MCTFR,0,,0,
12137877,47,2012-02-06,BRCE,0,,0,
12137877,49,2012-02-06,RCEX,2,APPL,46,
13143135,43,2013-12-20,IFEE,0,,0,
13143135,44,2013-12-20,N084,0,,0,
13143135,45,2013-12-26,PILS,0,,0,
13143135,46,2013-12-26,D1935,0,,0,
13143135,48,2014-01-28,PTAC,0,,0,
13143135,48.5,2014-01-28,PTA36M,0,PTO,48.4,
13143135,48.4,2011-07-08,COMMN,0,,0,
12583044,40,2013-09-03,XT/G,0,,0,
12583044,41,2013-09-03,A...,32,APPL,39,
12583044,43,2013-09-03,C614,0,,0,
12583044,44,2013-09-03,MICR,0,,0,
12583044,42,2013-09-05,FWDX,0,,0,
12583044,46,2013-09-06,EX.A,0,,0,
12583044,47,2013-09-10,DVER,0,,0,
12583044,48,2013-09-10,N/=.,0,,0,
12583044,52,2013-09-16,MN/=.,0,,0,
12583044,.5,2009-08-13,EFILE,0,,0,
12583044,56,2013-12-18,MICR,0,,0,
12583044,55,2013-12-18,IFEE,0,,0,
12583044,57,2013-12-18,N084,2,APPL,52,
12583044,58,2013-12-30,PILS,0,,0,
12583044,59,2013-12-30,D1935,0,,0,
12583044,61,2014-01-28,PTAC,0,,0,
12583044,61.5,2012-11-04,PTA36M,83,PTO,.5,
12985565,1,2011-01-06,IEXX,0,,0,
12985565,2,2011-01-06,SCAN,0,,0,
12985565,4,2011-01-06,WIDS,0,,0,
12985565,5,2011-01-06,APPERMS,0,,0,
12985565,10,2011-01-06,M844,0,,0,
12985565,11,2011-01-06,RCAP,0,,0,
12985565,25,2011-01-06,IDSC,0,,0,
12985565,3,2011-01-07,L194,0,,0,
12985565,7,2011-01-21,PGPC,0,,0,
12985565,6,2011-01-24,FLRCPT.O,0,,0,
12985565,8,2011-01-24,COMP,0,,0,
12985565,9,2011-02-11,OIPE,0,,0,
12985565,12,2011-02-23,DOCK,0,,0,
12985565,13,2012-07-12,PG-ISSUE,0,,0,
12985565,14,2013-01-03,WIDS,0,,0,
12985565,15,2013-01-03,EIDS.,0,,0,
12985565,26,2013-01-03,IDSC,0,,0,
12985565,19,2013-02-10,CTRS,0,,0,
12985565,22,2013-02-13,MCTRS,344,PTO,.5,
12985565,23,2013-03-06,ELC.,0,,0,
12985565,24,2013-03-15,FWDX,0,,0,
12985565,27,2013-04-14,CTNF,0,,0,
12985565,29,2013-04-16,MCTNF,0,,0,
12985565,30,2013-08-15,XT/G,0,,0,
12985565,31,2013-08-15,A...,30,APPL,29,
12985565,32,2013-08-20,FWDX,0,,0,
12985565,34,2013-09-21,EX.A,0,,0,
12985565,35,2013-09-23,N/=.,0,,0,
12985565,38,2013-09-24,DVER,0,,0,
12985565,40,2013-09-25,MN/=.,0,,0,
12985565,.5,2011-01-06,EFILE,0,,0,
13180700,9,2011-08-19,OIPE,0,,0,
13180700,12,2012-01-12,PG-ISSUE,0,,0,
13180700,13,2012-01-13,EML_NTR,0,,0,
13180700,14,2012-06-06,DOCK,0,,0,
13180700,15,2012-10-10,DOCK,0,,0,
13180700,21,2013-02-07,CTNF,0,,0,
13180700,23,2013-02-20,MCTNF,161,PTO,.5,
13180700,24,2013-02-20,EML_NTF,0,,0,
13180700,25,2013-02-28,PST_CRD,0,,0,
13180700,26,2013-05-13,A...,0,,0,
13180700,27,2013-07-02,FWDX,0,,0,
13180700,30,2013-07-12,CTFR,0,,0,
13180700,32,2013-07-18,MCTFR,0,,0,
13180700,33,2013-07-18,EML_NTF,0,,0,
13180700,34,2013-07-18,ELC_RVW,0,,0,
13180700,35,2013-09-10,A.NE,0,,0,
13180700,36,2013-09-18,FWDX,0,,0,
13180700,40,2013-09-20,N/=.,0,,0,
13180700,41,2013-09-20,DVER,0,,0,
13180700,44,2013-09-25,MN/=.,0,,0,
13180700,.5,2011-07-12,EFILE,0,,0,
13180700,50,2013-12-19,N084,0,,0,
13180700,49,2013-12-19,IFEE,0,,0,
13180700,51,2013-12-23,PILS,0,,0,
13180700,52,2013-12-23,D1935,0,,0,
13180700,54,2014-01-28,PTAC,0,,0,
13180700,54.5,2014-01-28,PTA36M,0,PTO,.5,
12377412,82,2013-09-30,MN/=.,0,,0,
12377412,.5,2007-08-21,NEFILE,0,,0,
12377412,89,2013-12-16,A.NA,19,APPL,93,
12377412,87,2013-12-16,N084,0,,0,
12377412,86,2013-12-16,IFEE,0,,0,
12377412,88,2013-12-18,PILS,0,,0,
12377412,90,2013-12-19,PUBTC,0,,0,
12377412,91,2013-12-30,N271,0,,0,
12377412,95,2014-01-02,D1935,0,,0,
12377412,96,2014-01-03,EML_NTR,0,,0,
12377412,93,2014-01-03,MN271,0,,0,
12377412,94,2014-01-03,TCPB,0,,0,
12377412,98,2014-01-28,PTAC,0,,0,
12377412,98.5,2012-11-06,PTA36M,267,PTO,98.4,
12377412,98.4,2009-02-13,COMMN,0,,0,
10569397,3,2006-11-13,OATHDECL,0,,0,
10569397,4,2006-11-13,INFODSCL,0,,0,
10569397,5,2006-11-13,ADDFLFEE,0,,0,
10569397,7,2006-11-13,371COMP,0,,0,
10569397,9,2006-11-13,WIDS,0,,0,
10569397,9.7,2006-11-13,M844,0,,0,
10569397,18,2006-11-13,IDSC,0,,0,
10569397,6,2006-11-29,OIPE,0,,0,
12757374,8,2010-04-30,EML_NTR,0,,0,
12757374,9,2010-05-24,OIPE,0,,0,
12757374,12,2011-04-28,PG-ISSUE,0,,0,
12757374,13,2011-04-29,EML_NTR,0,,0,
12757374,14,2011-09-30,DOCK,0,,0,
12757374,15,2012-01-06,C.AD,0,,0,
12757374,16,2012-01-10,PA..,0,,0,
12757374,17,2012-01-10,EML_NTR,0,,0,
12757374,18,2012-07-23,DOCK,0,,0,
12757374,19,2012-09-19,CTRS,0,,0,
12757374,21,2012-09-24,MCTRS,473,PTO,.5,
12757374,22,2012-09-24,EML_NTF,0,,0,
12757374,23,2012-09-24,ELC_RVW,0,,0,
12757374,24,2012-10-24,ELC.,0,,0,
12757374,25,2012-10-25,FWDX,0,,0,
12757374,30,2012-12-27,CTNF,0,,0,
12757374,32,2013-01-03,MCTNF,0,,0,
12757374,33,2013-01-03,EML_NTF,0,,0,
12757374,34,2013-01-03,ELC_RVW,0,,0,
12757374,35,2013-04-02,A...,0,,0,
12757374,36,2013-04-06,FWDX,0,,0,
12757374,37,2013-04-26,CTFR,0,,0,
12757374,39,2013-05-02,MCTFR,0,,0,
12757374,40,2013-05-02,EML_NTF,0,,0,
12757374,41,2013-05-02,ELC_RVW,0,,0,
12757374,42,2013-07-01,A.NE,0,,0,
12757374,43,2013-07-05,FWDX,0,,0,
12757374,44,2013-07-09,CTAV,0,,0,
12757374,46,2013-07-15,MCTAV,0,,0,
12757374,47,2013-07-15,EML_NTR,0,,0,
12757374,48,2013-07-31,BRCE,0,,0,
12757374,50,2013-07-31,RCEX,0,,0,
12757374,49,2013-08-03,ABN9,0,,0,
12757374,55,2013-09-18,DVER,0,,0,
12757374,56,2013-09-18,N/=.,0,,0,
12757374,60,2013-09-23,MN/=.,0,,0,
12994844,54,2014-01-28,PTAC,0,,0,
12994844,54.5,2014-01-28,PTA36M,60,PTO,54.4,
12994844,54.4,2010-11-29,COMMN,0,,0,
13504788,7,2013-01-23,371COMP,0,,0,
13504788,4,2013-02-04,M903,0,,0,
13504788,5,2013-02-04,FLRCPT.O,0,,0,
13504788,6,2013-02-04,PGPC,0,,0,
13504788,8,2013-02-25,OIPE,0,,0,
13504788,9,2013-02-26,DOCK,0,,0,
13504788,15,2013-04-01,CTRS,0,,0,
13504788,17,2013-04-03,MCTRS,0,,0,
13504788,18,2013-04-30,ELC.,0,,0,
13504788,20,2013-04-30,A.PE,0,,0,
13504788,19,2013-05-01,FWDX,0,,0,
13504788,21,2013-05-16,PG-ISSUE,0,,0,
13504788,26,2013-06-04,CTNF,0,,0,
13504788,28,2013-06-07,MCTNF,0,,0,
13504788,29,2013-08-28,A...,0,,0,
13504788,30,2013-08-30,FWDX,0,,0,
13504788,31,2013-09-04,SA..,7,APPL,29,
13504788,32,2013-09-05,FWDX,0,,0,
13504788,34,2013-09-20,EX.R,0,,0,
13504788,35,2013-09-23,N/=.,0,,0,
13504788,36,2013-09-23,DVER,0,,0,
13504788,40,2013-09-25,MN/=.,0,,0,
13504788,.5,2011-02-28,NEFILE,0,,0,
13504788,43,2013-12-18,IFEE,0,,0,
13504788,44,2013-12-18,N084,0,,0,
13504788,46,2013-12-23,D1935,0,,0,
13504788,45,2013-12-23,PILS,0,,0,
13504788,48,2014-01-28,PTAC,0,,0,
13504788,48.5,2014-01-28,PTA36M,0,PTO,48.4,
13504788,48.4,2013-01-23,COMMN,0,,0,
12969379,1,2010-12-15,IEXX,0,,0,
12969379,2,2010-12-16,SCAN,0,,0,
12969379,3,2010-12-20,L194,0,,0,
12969379,4,2011-01-03,INCD,0,,0,
12969379,5,2011-01-03,FLRCPT.O,0,,0,
12969379,6,2011-01-21,WIDS,0,,0,
12969379,13,2011-01-21,EIDS.,0,,0,
12969379,29,2011-01-21,IDSC,0,,0,
12969379,7,2011-02-25,OATHDECL,0,,0,
12969379,8,2011-02-25,ADDFLFEE,0,,0,
12969379,9,2011-03-07,C.AD,0,,0,
12969379,10,2011-03-08,FLRCPT.U,0,,0,
12969379,11,2011-03-08,OIPE,0,,0,
12969379,12,2011-03-08,COMP,0,,0,
12969379,14,2011-03-29,DOCK,0,,0,
12969379,15,2011-06-16,PG-ISSUE,0,,0,
12969379,16,2011-10-13,WIDS,0,,0,
12969379,17,2011-10-13,EIDS.,0,,0,
12252755,1,2008-10-16,IEXX,0,,0,
12252755,2,2008-10-16,WIDS,0,,0,
12252755,6,2008-10-16,PDREQUST,0,,0,
12252755,10,2008-10-16,M844,0,,0,
12252755,12,2008-10-16,RCAP,0,,0,
12252755,34,2008-10-16,IDSC,0,,0,
12252755,3,2008-10-22,SCAN,0,,0,
12252755,4,2008-10-23,L194,0,,0,
12252755,7,2008-11-17,FLRCPT.O,0,,0,
12252755,8,2008-11-17,PGPC,0,,0,
12252755,9,2008-12-09,OIPE,0,,0,
12252755,11,2008-12-11,RQPR,0,,0,
12252755,60,2008-12-11,RQPR,0,,0,
12252755,13,2009-01-24,TSSCOMP,0,,0,
12252755,14,2009-04-23,PG-ISSUE,0,,0,
12252755,15,2010-12-03,TI1050,0,,0,
12252755,16,2010-12-17,TI1050,0,,0,
12252755,17,2011-06-20,DOCK,0,,0,
12252755,18,2011-10-19,DOCK,0,,0,
12252755,19,2011-12-20,DOCK,0,,0,
12252755,20,2012-01-12,DOCK,0,,0,
12252755,21,2012-04-23,DOCK,0,,0,
12252755,22,2012-05-15,DOCK,0,,0,
12252755,23,2012-05-23,WIDS,0,,0,
12252755,24,2012-05-23,M844,0,,0,
12252755,25,2012-05-23,RCAP,0,,0,
12252755,35,2012-05-23,IDSC,0,,0,
12252755,26,2012-07-01,TI1050,0,,0,
12936235,3,2010-11-02,M903,0,,0,
12936235,4,2010-11-02,FLRCPT.O,0,,0,
12936235,7,2010-11-02,EML_NTR,0,,0,
12936235,8,2010-11-02,EML_NTR,0,,0,
12936235,9,2010-11-24,OIPE,0,,0,
12936235,13,2011-01-06,WIDS,0,,0,
12936235,15,2011-01-06,M844,0,,0,
12936235,16,2011-01-06,RCAP,0,,0,
12936235,20,2011-01-06,IDSC,0,,0,
12936235,14,2011-01-11,DOCK,0,,0,
12936235,17,2011-02-07,DOCK,0,,0,
12936235,18,2011-02-10,PG-ISSUE,0,,0,
12936235,19,2011-02-11,EML_NTR,0,,0,
12936235,24,2011-05-05,CTNF,0,,0,
12936235,25,2011-05-10,MCTNF,0,,0,
12936235,26,2011-05-10,EML_NTF,0,,0,
12936235,27,2011-05-10,ELC_RVW,0,,0,
12936235,28,2011-09-12,XT/G,0,,0,
12936235,29,2011-09-12,A...,33,APPL,25,
12936235,30,2011-09-13,FWDX,0,,0,
12936235,31,2011-10-25,CTFR,0,,0,
12936235,33,2011-11-01,MCTFR,0,,0,
12936235,34,2011-11-01,EML_NTF,0,,0,
12936235,35,2011-11-01,ELC_RVW,0,,0,
12936235,36,2012-04-27,BRCE,0,,0,
12936235,37,2012-04-27,XT/G,0,,0,
12936235,39,2012-04-27,RCEX,86,APPL,33,
12936235,38,2012-04-30,ABN9,0,,0,
12936235,41,2012-04-30,FWDX,0,,0,
12936235,42,2012-04-30,CPA-AMD,0,,0,
12936235,43,2012-05-02,MCPA-AMD,0,,0,
12936235,44,2012-05-03,EML_NTF,0,,0,
12936235,45,2012-05-03,ELC_RVW,0,,0,
12936235,47,2012-06-01,A...,0,,0,
12936235,48,2013-04-23,CTNF,0,,0,
12936235,50,2013-04-29,MCTNF,210,PTO,47,
12936235,51,2013-04-29,EML_NTF,0,,0,
12936235,52,2013-04-29,ELC_RVW,0,,0,
12936235,53,2013-06-20,EXAT,0,,0,
12936235,54,2013-06-20,EXIA,0,,0,
13222092,17,2013-03-01,EML_NTR,0,,0,
13222092,18,2013-05-16,TI1050,0,,0,
13222092,19,2013-05-20,DOCK,0,,0,
13222092,20,2013-06-25,DOCK,0,,0,
13222092,21,2013-07-06,TI1050,0,,0,
13222092,22,2013-07-12,TI1050,0,,0,
13222092,23,2013-07-25,CLTI,0,,0,
13222092,24,2013-08-06,CTRS,0,,0,
13222092,26,2013-08-09,MCTRS,282,PTO,.5,
13222092,27,2013-08-09,EML_NTF,0,,0,
13222092,28,2013-08-09,ELC_RVW,0,,0,
13222092,29,2013-08-14,ELC.,0,,0,
13222092,30,2013-08-17,FWDX,0,,0,
13222092,37,2013-09-11,EX.A,0,,0,
13222092,38,2013-09-11,EX.R,0,,0,
13222092,39,2013-09-18,DVER,0,,0,
13222092,41,2013-09-18,N/=.,0,,0,
13222092,45,2013-09-20,MN/=.,0,,0,
13222092,.5,2011-08-31,EFILE,0,,0,
13222092,48,2013-09-23,ELC_RVW,0,,0,
13222092,50,2013-12-19,IFEE,0,,0,
13222092,51,2013-12-19,N084,0,,0,
13222092,52,2013-12-19,DRWF,41,APPL,0,
13222092,53,2013-12-23,PILS,0,,0,
13222092,54,2013-12-24,D1935,0,,0,
13222092,56,2014-01-28,PTAC,0,,0,
13222092,56.5,2014-01-28,PTA36M,0,PTO,.5,
12888711,8,2010-11-05,OIPE,0,,0,
13553487,18,2012-10-16,DOCK,0,,0,
13553487,20,2012-10-31,DOCK,0,,0,
13553487,21,2013-01-17,PG-ISSUE,0,,0,
13553487,22,2013-01-18,EML_NTR,0,,0,
13553487,24,2013-05-23,CTNF,0,,0,
13553487,26,2013-05-30,MCTNF,0,,0,
13553487,27,2013-05-30,EML_NTF,0,,0,
13553487,28,2013-05-30,ELC_RVW,0,,0,
13553487,29,2013-08-26,EXAT,0,,0,
13553487,30,2013-08-26,EXIA,0,,0,
13553487,33,2013-08-29,MEXAT,0,,0,
13553487,34,2013-08-29,A...,0,,0,
13553487,35,2013-09-04,FWDX,0,,0,
13553487,39,2013-09-15,N/=.,0,,0,
13553487,40,2013-09-15,DVER,0,,0,
13553487,43,2013-09-19,MN/=.,0,,0,
13553487,.5,2012-07-19,EFILE,0,,0,
13553487,49,2013-11-26,M844,64,APPL,0,
13553487,48,2013-11-26,WIDS,0,,0,
13553487,51,2013-11-26,IDSC,0,,0,
13553487,50,2013-12-12,PUBTC,0,,0,
13553487,52,2013-12-16,CNOA,0,,0,
13553487,53,2013-12-16,TCPB,0,,0,
13553487,56,2013-12-18,IFEE,0,,0,
13553487,59,2013-12-18,N084,0,,0,
13553487,55,2013-12-20,MCNOA,0,,0,
13553487,57,2013-12-20,TCPB,0,,0,
13553487,58,2013-12-20,EML_NTR,0,,0,
13553487,60,2013-12-23,PILS,0,,0,
13553487,61,2014-01-03,D1935,0,,0,
13553487,62,2014-01-28,PTAC,0,,0,
13553487,62.5,2014-01-28,PTA36M,0,PTO,.5,
13754311,1,2013-01-30,IEXX,0,,0,
13754311,3,2013-01-30,SCAN,0,,0,
13754311,4,2013-01-30,WIDS,0,,0,
13754311,7,2013-01-30,NPRQ,0,,0,
13754311,13,2013-01-30,EIDS.,0,,0,
13754311,14,2013-01-30,EIDS.,0,,0,
13754311,18,2013-01-30,IDSC,0,,0,
13754311,5,2013-02-01,L194,0,,0,
13754311,9,2013-02-26,PGPC,0,,0,
13754311,8,2013-02-27,FLRCPT.O,0,,0,
13754311,10,2013-02-27,EML_NTR,0,,0,
13754311,11,2013-02-27,COMP,0,,0,
13754311,12,2013-04-08,OIPE,0,,0,
13754311,15,2013-09-19,DOCK,0,,0,
13754311,22,2013-09-24,EX.A,0,,0,
13754311,23,2013-09-24,EXIE,0,,0,
13754311,24,2013-09-25,N/=.,0,,0,
13754311,25,2013-09-25,DVER,0,,0,
13754311,30,2013-09-27,MN/=.,0,,0,
13754311,.5,2013-01-30,EFILE,0,,0,
13754311,36,2013-12-20,MICR,0,,0,
13754311,35,2013-12-20,IFEE,0,,0,
13754311,37,2013-12-20,N084,0,,0,
13754311,40,2013-12-24,PET.,0,,0,
13754311,38,2013-12-26,PILS,0,,0,
13754311,39,2013-12-26,D1935,0,,0,
13754311,42,2014-01-28,PTAC,0,,0,
11491012,99,2013-11-01,M844,0,,0,
11491012,102,2013-11-01,IDSC,0,,0,
11491012,100,2013-12-31,APDR,0,,0,
11491012,101,2014-01-03,MAPDR,682,PTO,81,
11491012,103,2014-01-03,EML_NTF,0,,0,
11491012,104,2014-01-03,ELC_RVW,0,,0,
11491012,106,2014-01-06,EX.R,0,,0,
11491012,108,2014-01-06,DOCK,0,,0,
11491012,109,2014-01-06,N/=.,0,,0,
11491012,113,2014-01-09,MN/=.,0,,0,
11491012,.5,2006-07-20,EFILE,0,,0,
11491012,101,2014-01-03,MAPDR,682,,81,
13517451,8,2012-06-22,371COMP,0,,0,
13517451,7,2012-11-01,PGPC,0,,0,
13517451,5,2012-11-02,M903,0,,0,
13517451,6,2012-11-02,FLRCPT.O,0,,0,
13517451,9,2012-11-27,OIPE,0,,0,
13517451,15,2013-02-07,PG-ISSUE,0,,0,
13517451,16,2013-03-29,DOCK,0,,0,
13517451,18,2013-06-10,CTNF,0,,0,
13517451,21,2013-06-13,MCTNF,0,,0,
13517451,22,2013-09-13,A...,0,,0,
13517451,23,2013-09-16,FWDX,0,,0,
13517451,28,2013-09-25,DVER,0,,0,
13517451,29,2013-09-26,DOCK,0,,0,
13517451,30,2013-09-26,N/=.,0,,0,
13517451,33,2013-09-26,MN/=.,0,,0,
13517451,.5,2010-12-17,NEFILE,0,,0,
13517451,35,2013-11-23,M327-D,0,,0,
13517451,36,2013-11-23,MM327-D,0,,0,
13517451,45,2013-12-19,N084,0,,0,
13517451,37,2013-12-19,IFEE,0,,0,
13517451,40,2013-12-19,A.NA,8,APPL,42,
13517451,38,2013-12-20,C.AD,0,,0,
13517451,43,2013-12-23,PILS,0,,0,
13517451,41,2013-12-23,N271,0,,0,
13517451,44,2013-12-24,EML_NTR,0,,0,
13517451,39,2013-12-24,PA..,0,,0,
13517451,46,2013-12-26,EML_NTR,0,,0,
13517451,42,2013-12-26,MN271,0,,0,
13517451,47,2013-12-31,D1935,0,,0,
13517451,50,2014-01-28,PTAC,0,,0,
13517451,50.5,2014-01-28,PTA36M,0,PTO,50.4,
13517451,50.4,2012-06-22,COMMN,0,,0,
12750437,10,2010-06-21,FLRCPT.U,0,,0,
12750437,11,2010-06-21,OIPE,0,,0,
12750437,12,2010-06-21,COMP,0,,0,
12750437,13,2010-07-09,DOCK,0,,0,
12750437,16,2010-09-20,DOCK,0,,0,
12750437,17,2010-09-30,PG-ISSUE,0,,0,
12750437,22,2010-10-08,CTRS,0,,0,
12750437,23,2010-10-12,MCTRS,0,,0,
12750437,24,2010-11-12,ELC.,0,,0,
12750437,25,2010-11-13,FWDX,0,,0,
12750437,27,2010-12-06,CTNF,0,,0,
12750437,28,2010-12-07,MCTNF,0,,0,
12750437,29,2010-12-13,C.AD,0,,0,
12750437,30,2010-12-15,PA..,0,,0,
12750437,31,2010-12-15,EML_NTR,0,,0,
12750437,32,2011-03-07,A...,0,,0,
12750437,34,2011-03-07,C614,0,,0,
12750437,33,2011-03-10,FWDX,0,,0,
12750437,35,2011-05-13,CTNF,0,,0,
12750437,37,2011-05-19,MCTNF,0,,0,
12750437,38,2011-05-19,EML_NTF,0,,0,
12750437,39,2011-05-20,ELC_RVW,0,,0,
12750437,40,2011-08-18,A...,0,,0,
12750437,41,2011-08-24,FWDX,0,,0,
12750437,42,2011-10-12,CTFR,0,,0,
12750437,44,2011-10-20,MCTFR,0,,0,
12750437,45,2011-10-20,EML_NTF,0,,0,
12750437,46,2011-10-20,ELC_RVW,0,,0,
12750437,47,2011-12-07,A.NE,0,,0,
12750437,48,2011-12-08,FWDX,0,,0,
12750437,49,2011-12-12,CTAV,0,,0,
12750437,51,2011-12-19,MCTAV,0,,0,
12750437,52,2011-12-19,EML_NTR,0,,0,
12750437,53,2012-01-11,BRCE,0,,0,
12750437,55,2012-01-11,RCEX,0,,0,
12750437,54,2012-01-12,ABN9,0,,0,
12750437,57,2012-01-12,FWDX,0,,0,
12750437,58,2012-07-13,C.AD,0,,0,
12750437,59,2012-07-16,PA..,0,,0,
12750437,60,2013-04-23,CTNF,0,,0,
12750437,62,2013-04-25,MCTNF,349,PTO,55,
13793505,13,2013-04-18,FTFI,0,,0,
13793505,16,2013-04-22,DOCK,0,,0,
13793505,20,2013-05-07,CTNF,0,,0,
13793505,22,2013-05-09,MCTNF,0,,0,
13793505,23,2013-06-05,WIDS,0,,0,
13793505,24,2013-06-05,EIDS.,0,,0,
13793505,33,2013-06-05,IDSC,0,,0,
13793505,25,2013-07-25,PG-ISSUE,0,,0,
